COUNTYFIP,2009,2010,2011,2012,2013,2014,2015,2016,<NA>
0,1157,1536,1441,1348,2423,2649,2776,2752,NA
1,87,81,61,73,111,140,173,136,39
3,85,102,103,125,198,207,244,208,36
5,44,58,45,59,135,100,139,97,40
6,NA,NA,NA,NA,NA,NA,NA,NA,1
7,18,35,26,31,51,48,79,88,41
9,37,15,42,23,48,44,46,52,43
10,13,8,6,8,29,21,31,21,NA
11,35,44,39,42,63,81,89,77,40
12,NA,NA,NA,NA,NA,NA,NA,NA,1
13,82,97,110,131,181,209,231,237,39
14,NA,NA,NA,NA,NA,NA,NA,NA,1
15,2,5,4,10,26,25,11,36,39
16,NA,NA,NA,NA,NA,NA,NA,NA,1
17,29,26,31,38,63,62,81,80,35
19,62,62,51,47,90,120,97,122,32
20,NA,NA,NA,NA,3,NA,1,9,NA
21,15,16,16,12,38,48,41,54,38
23,15,20,16,21,45,28,41,37,42
25,56,58,51,54,104,108,119,129,35
27,28,26,38,37,59,63,75,67,37
28,NA,NA,NA,NA,NA,NA,NA,NA,1
29,53,82,59,65,147,142,138,129,35
31,88,105,91,123,223,188,235,251,36
33,34,48,46,41,90,103,115,139,36
35,41,37,37,34,96,83,88,94,34
36,NA,NA,NA,NA,NA,NA,NA,NA,1
37,296,409,393,350,738,802,834,1022,35
39,16,32,30,35,43,49,51,41,34
41,29,19,21,15,39,53,54,78,33
43,12,18,15,19,37,49,56,39,35
45,17,16,10,12,19,17,20,32,33
47,46,52,63,64,85,120,138,114,34
49,26,37,27,28,78,89,100,78,32
50,NA,NA,NA,NA,NA,NA,NA,NA,1
51,6,13,10,23,48,45,48,59,32
53,22,8,13,20,58,44,47,57,33
54,NA,NA,NA,NA,NA,NA,NA,NA,1
55,4,8,9,13,31,42,52,55,31
57,12,24,38,27,46,51,51,70,32
59,87,88,112,91,213,231,220,246,31
60,NA,NA,NA,NA,NA,NA,NA,NA,1
61,35,55,36,40,99,86,110,93,30
63,10,17,14,17,31,42,47,51,29
65,28,35,36,40,84,79,113,106,32
67,43,45,32,56,99,95,129,90,29
68,NA,NA,NA,NA,NA,NA,NA,NA,1
69,2,6,1,4,19,13,12,15,32
70,NA,NA,NA,NA,NA,NA,NA,NA,1
71,44,46,57,60,95,154,117,123,28
73,38,78,56,87,147,175,213,197,27
75,23,20,17,19,35,67,40,43,30
77,11,23,9,22,19,49,19,35,30
78,NA,NA,NA,NA,NA,NA,NA,NA,1
79,7,7,7,12,25,19,31,35,30
81,74,89,92,99,190,179,171,163,25
83,20,26,29,23,39,34,42,43,29
85,47,62,54,61,87,122,125,126,26
86,NA,NA,NA,NA,NA,NA,NA,NA,1
87,8,18,15,18,48,31,39,38,29
89,15,31,21,25,34,33,54,40,25
90,NA,NA,NA,NA,NA,NA,NA,NA,1
91,9,32,25,24,44,46,56,60,24
93,4,9,9,8,10,16,12,14,28
95,25,33,22,40,69,70,80,67,26
97,25,35,40,33,79,84,71,88,24
99,22,36,42,37,69,89,74,75,26
100,NA,NA,NA,NA,NA,NA,NA,NA,1
101,26,36,27,32,57,60,53,50,27
103,24,39,43,45,101,88,104,117,26
105,8,15,8,16,24,34,29,34,28
107,3,7,8,19,25,27,26,39,27
109,3,10,4,12,33,30,47,38,23
110,NA,NA,NA,NA,NA,NA,NA,NA,1
111,22,25,26,32,62,69,67,71,24
113,32,47,44,50,86,104,118,101,21
115,6,5,1,5,12,4,14,25,25
117,10,10,12,17,35,31,31,35,22
119,15,11,11,18,25,31,38,30,24
121,16,24,22,10,28,35,37,31,23
122,NA,NA,NA,NA,NA,NA,NA,NA,1
123,3,10,11,6,10,9,6,9,24
125,14,21,12,12,35,36,44,36,23
127,5,9,4,3,1,5,7,8,22
129,1,6,1,3,8,4,5,10,22
130,NA,NA,NA,NA,NA,NA,NA,NA,1
131,NA,NA,NA,NA,NA,NA,NA,NA,23
133,8,4,7,6,16,23,13,17,19
135,15,22,9,11,37,27,25,26,18
137,1,2,4,NA,NA,NA,NA,NA,20
139,5,7,5,6,12,21,37,35,15
141,7,16,7,12,28,30,24,29,18
143,3,1,NA,10,17,7,17,8,17
145,NA,2,3,9,15,11,11,10,17
147,1,6,3,7,8,9,15,12,17
149,8,1,1,1,2,11,14,3,18
150,NA,NA,NA,NA,NA,NA,NA,NA,1
151,6,2,2,5,4,9,6,6,15
153,10,6,8,4,28,14,21,17,15
155,NA,1,1,NA,NA,NA,NA,NA,15
157,21,27,21,23,45,50,36,38,13
159,NA,NA,3,NA,2,NA,1,3,15
161,9,14,3,10,20,17,24,37,14
163,19,24,22,18,63,54,51,49,11
164,NA,NA,NA,NA,NA,NA,NA,NA,1
165,1,3,1,5,15,3,9,3,13
167,7,4,3,14,15,13,23,20,11
169,3,3,1,1,1,2,6,2,13
170,NA,NA,NA,NA,NA,NA,NA,NA,1
171,NA,NA,NA,NA,1,1,2,2,13
173,NA,NA,NA,NA,NA,NA,NA,NA,14
175,NA,NA,NA,NA,NA,NA,NA,NA,13
177,2,2,1,NA,NA,NA,NA,NA,11
179,2,14,4,4,4,9,8,17,9
180,NA,NA,NA,NA,NA,NA,NA,NA,1
181,NA,NA,NA,NA,NA,NA,NA,NA,12
183,3,2,4,11,19,34,47,35,9
185,NA,NA,NA,5,4,4,2,8,11
186,NA,NA,NA,NA,NA,NA,NA,NA,1
187,3,1,NA,7,10,9,14,5,8
188,NA,NA,NA,NA,NA,NA,NA,NA,1
189,11,8,12,7,24,29,29,19,7
191,1,2,2,2,NA,3,4,2,7
193,1,NA,NA,NA,NA,NA,NA,NA,7
195,NA,NA,NA,NA,NA,NA,NA,NA,10
197,NA,NA,NA,6,18,21,18,27,8
198,NA,NA,NA,NA,NA,NA,NA,NA,1
199,NA,NA,NA,NA,NA,NA,NA,NA,8
201,44,55,49,41,99,106,107,111,5
203,NA,NA,NA,NA,NA,NA,NA,NA,5
205,NA,NA,NA,NA,NA,NA,NA,NA,5
207,NA,NA,NA,NA,NA,NA,NA,NA,5
209,NA,2,1,2,10,16,16,5,3
211,NA,NA,NA,NA,NA,NA,NA,NA,4
213,NA,NA,NA,NA,NA,NA,NA,NA,4
215,6,10,14,8,11,13,23,16,2
217,NA,NA,NA,NA,NA,NA,NA,NA,4
219,NA,NA,NA,NA,NA,NA,NA,NA,4
220,NA,NA,NA,NA,NA,NA,NA,NA,1
221,NA,NA,NA,NA,NA,NA,NA,NA,4
223,NA,NA,NA,1,3,2,3,5,3
225,NA,NA,NA,NA,NA,NA,NA,NA,4
227,NA,NA,NA,1,3,2,3,1,3
229,NA,NA,NA,NA,NA,NA,NA,NA,4
230,NA,NA,NA,NA,NA,NA,NA,NA,1
231,NA,NA,NA,NA,NA,NA,NA,NA,3
233,NA,NA,NA,NA,NA,NA,NA,NA,3
235,NA,NA,NA,NA,NA,NA,NA,NA,3
237,NA,NA,NA,NA,NA,NA,NA,NA,3
239,NA,NA,NA,NA,NA,NA,NA,NA,3
240,NA,NA,NA,NA,NA,NA,NA,NA,1
241,NA,NA,NA,NA,NA,NA,NA,NA,2
243,NA,NA,NA,NA,NA,NA,NA,NA,2
245,4,9,7,4,15,9,6,8,NA
247,NA,NA,NA,NA,NA,NA,NA,NA,2
249,NA,NA,NA,NA,NA,NA,NA,NA,2
251,1,2,1,1,4,6,NA,7,1
253,NA,NA,NA,NA,NA,NA,NA,NA,2
255,NA,NA,NA,NA,NA,NA,NA,NA,2
257,NA,NA,NA,2,1,5,2,3,1
259,NA,NA,NA,NA,NA,NA,NA,NA,2
261,NA,NA,NA,NA,NA,NA,NA,NA,3
263,NA,NA,NA,NA,NA,NA,NA,NA,2
265,NA,NA,NA,NA,NA,NA,NA,NA,2
267,NA,NA,NA,NA,NA,NA,NA,NA,2
269,NA,NA,NA,NA,NA,NA,NA,NA,2
270,NA,NA,NA,NA,NA,NA,NA,NA,1
271,NA,NA,NA,NA,NA,NA,NA,NA,2
273,NA,NA,NA,NA,NA,NA,NA,NA,2
275,NA,NA,NA,NA,NA,NA,NA,NA,3
277,NA,NA,NA,NA,NA,NA,NA,NA,2
279,NA,NA,NA,NA,NA,NA,NA,NA,2
281,NA,NA,NA,NA,NA,NA,NA,NA,2
282,NA,NA,NA,NA,NA,NA,NA,NA,1
283,NA,NA,NA,NA,NA,NA,NA,NA,2
285,NA,NA,NA,NA,NA,NA,NA,NA,2
287,NA,NA,NA,NA,NA,NA,NA,NA,2
289,NA,NA,NA,NA,NA,NA,NA,NA,2
290,NA,NA,NA,NA,NA,NA,NA,NA,1
291,NA,NA,NA,NA,NA,NA,NA,NA,2
293,NA,NA,NA,NA,NA,NA,NA,NA,2
295,NA,NA,NA,NA,NA,NA,NA,NA,2
297,NA,NA,NA,NA,NA,NA,NA,NA,2
299,NA,NA,NA,NA,NA,NA,NA,NA,2
301,NA,NA,NA,NA,NA,NA,NA,NA,2
303,5,5,4,7,22,20,26,22,1
305,NA,NA,NA,NA,NA,NA,NA,NA,2
307,NA,NA,NA,NA,NA,NA,NA,NA,2
309,1,3,8,7,10,13,14,16,1
311,NA,NA,NA,NA,NA,NA,NA,NA,2
313,NA,NA,NA,1,1,1,5,1,1
315,NA,NA,NA,NA,NA,NA,NA,NA,2
317,NA,NA,NA,NA,NA,NA,NA,NA,2
319,NA,NA,NA,NA,NA,NA,NA,NA,2
321,NA,NA,NA,NA,NA,NA,NA,NA,2
323,NA,NA,NA,NA,NA,NA,NA,NA,1
325,NA,NA,NA,NA,NA,NA,NA,NA,1
327,NA,NA,NA,NA,NA,NA,NA,NA,1
329,2,2,2,1,2,6,NA,5,NA
331,NA,NA,NA,NA,NA,NA,NA,NA,1
333,NA,NA,NA,NA,NA,NA,NA,NA,1
335,NA,NA,NA,NA,NA,NA,NA,NA,1
337,NA,NA,NA,NA,NA,NA,NA,NA,1
339,NA,NA,NA,2,7,8,14,11,NA
341,NA,NA,NA,NA,NA,NA,NA,NA,1
343,NA,NA,NA,NA,NA,NA,NA,NA,1
345,NA,NA,NA,NA,NA,NA,NA,NA,1
347,NA,NA,NA,NA,NA,NA,NA,NA,1
349,NA,NA,NA,NA,NA,NA,NA,NA,1
351,NA,NA,NA,NA,NA,NA,NA,NA,1
353,NA,NA,NA,NA,NA,NA,NA,NA,1
355,NA,NA,NA,6,9,8,9,8,NA
357,NA,NA,NA,NA,NA,NA,NA,NA,1
359,NA,NA,NA,NA,NA,NA,NA,NA,1
361,NA,NA,NA,NA,NA,NA,NA,NA,1
363,NA,NA,NA,NA,NA,NA,NA,NA,1
365,NA,NA,NA,NA,NA,NA,NA,NA,1
367,NA,NA,NA,1,NA,4,NA,3,NA
369,NA,NA,NA,NA,NA,NA,NA,NA,1
371,NA,NA,NA,NA,NA,NA,NA,NA,1
373,NA,NA,NA,NA,NA,NA,NA,NA,1
375,NA,NA,NA,3,NA,4,2,1,NA
377,NA,NA,NA,NA,NA,NA,NA,NA,1
379,NA,NA,NA,NA,NA,NA,NA,NA,1
381,1,1,2,1,NA,10,5,5,NA
383,NA,NA,NA,NA,NA,NA,NA,NA,1
385,NA,NA,NA,NA,NA,NA,NA,NA,1
387,NA,NA,NA,NA,NA,NA,NA,NA,1
389,NA,NA,NA,NA,NA,NA,NA,NA,1
391,NA,NA,NA,NA,NA,NA,NA,NA,1
393,NA,NA,NA,NA,NA,NA,NA,NA,1
395,NA,NA,NA,NA,NA,NA,NA,NA,1
397,NA,NA,NA,NA,NA,NA,NA,NA,1
399,NA,NA,NA,NA,NA,NA,NA,NA,1
401,NA,NA,NA,NA,NA,NA,NA,NA,1
403,NA,NA,NA,NA,NA,NA,NA,NA,1
405,NA,NA,NA,NA,NA,NA,NA,NA,1
407,NA,NA,NA,NA,NA,NA,NA,NA,1
409,NA,NA,NA,NA,NA,NA,NA,NA,1
411,NA,NA,NA,NA,NA,NA,NA,NA,1
413,NA,NA,NA,NA,NA,NA,NA,NA,1
415,NA,NA,NA,NA,NA,NA,NA,NA,1
417,NA,NA,NA,NA,NA,NA,NA,NA,1
419,NA,NA,NA,NA,NA,NA,NA,NA,1
421,NA,NA,NA,NA,NA,NA,NA,NA,1
423,2,1,1,3,5,6,4,4,NA
425,NA,NA,NA,NA,NA,NA,NA,NA,1
427,NA,NA,NA,NA,NA,NA,NA,NA,1
429,NA,NA,NA,NA,NA,NA,NA,NA,1
431,NA,NA,NA,NA,NA,NA,NA,NA,1
433,NA,NA,NA,NA,NA,NA,NA,NA,1
435,NA,NA,NA,NA,NA,NA,NA,NA,1
437,NA,NA,NA,NA,NA,NA,NA,NA,1
439,NA,NA,NA,23,38,41,53,51,NA
441,NA,NA,NA,4,5,5,2,1,NA
