UNIQUE.COUNTY,2009,2010,2011,2012,2013,2014,2015,2016
1e3,1212,1245,1541,1355,1417,1333,1387,1289
1003,42,54,36,49,27,34,33,39
1015,61,60,91,71,66,61,79,66
1055,31,38,41,45,35,46,36,31
1073,282,220,286,292,283,272,271,312
1081,240,270,221,193,180,182,211,203
1097,158,157,209,182,148,172,154,160
1117,77,61,71,71,84,96,99,87
2e3,237,256,260,141,155,136,148,135
2020,NA,NA,NA,55,59,53,59,64
4e3,279,280,302,380,322,325,255,311
4005,121,131,203,196,238,185,221,263
4013,1435,1547,1736,1614,1565,1655,1660,1664
4019,549,569,653,573,539,553,542,580
4025,55,39,61,58,66,85,67,78
4027,60,65,76,74,87,96,66,53
5e3,751,767,1008,929,970,946,891,938
5007,50,61,55,72,64,91,97,93
5119,112,98,97,92,106,101,103,84
5125,NA,NA,NA,28,29,20,22,21
5143,158,145,159,180,197,193,205,211
6e3,507,520,556,576,535,565,604,563
6001,768,816,947,934,939,937,977,923
6007,164,193,170,195,168,173,184,200
6013,442,440,375,429,416,412,410,377
6017,86,75,60,65,47,65,40,51
6019,461,454,498,526,525,475,550,533
6023,76,86,102,102,90,99,96,94
6025,94,88,100,86,57,49,81,95
6029,299,303,330,305,338,308,273,290
6031,49,53,73,72,58,63,73,62
6037,5076,5634,6483,6347,6433,6481,6366,6319
6039,48,47,53,43,43,43,55,55
6041,80,82,92,90,91,93,89,79
6047,127,113,125,143,155,168,111,131
6055,69,57,80,83,77,75,72,83
6059,1753,1878,1957,1813,1913,1759,1860,1884
6061,127,136,112,144,132,150,144,123
6065,873,939,940,998,1099,1078,1071,1063
6067,704,646,668,754,698,630,769,649
6071,905,884,694,943,937,947,932,849
6073,1631,1716,1606,1590,1591,1490,1581,1555
6075,358,334,402,362,449,447,400,373
6077,254,309,339,310,335,341,336,315
6079,211,189,254,277,324,297,252,267
6081,306,326,319,321,302,284,321,282
6083,384,378,455,379,405,433,422,407
6085,862,888,1095,1062,1022,1057,1009,1124
6087,201,207,289,287,271,261,270,285
6089,74,75,72,69,102,69,52,79
6095,173,159,160,170,185,172,167,157
6097,236,208,231,198,219,213,217,195
6099,206,243,226,197,208,214,206,202
6107,160,196,209,193,176,175,193,176
6111,384,401,446,437,473,414,428,435
6113,199,193,269,302,300,295,329,316
8e3,1792,1826,1969,2228,2225,2194,2184,2131
8041,295,283,355,NA,NA,NA,NA,NA
8069,NA,NA,NA,245,273,261,254,243
8123,116,136,155,NA,NA,NA,NA,NA
9001,392,396,434,460,439,454,392,444
9003,389,439,486,524,497,424,503,431
9005,69,82,85,55,67,76,59,75
9007,76,76,105,100,97,87,116,106
9009,378,402,564,553,526,502,498,478
9011,133,131,158,168,164,143,151,138
9013,148,155,243,258,267,263,257,259
9015,59,74,101,98,97,82,85,106
10001,64,60,85,67,98,93,76,82
10003,256,265,320,352,278,290,295,306
10005,58,46,61,56,76,57,58,45
11010,400,416,574,522,550,549,571,582
12e3,2234,2281,2561,2111,2024,2116,2068,1927
12001,348,364,417,430,475,442,454,431
12005,55,52,50,NA,NA,NA,NA,NA
12009,247,203,229,205,205,164,196,199
12011,708,745,717,716,756,680,711,639
12015,39,27,40,35,30,27,22,24
12017,NA,NA,NA,25,32,24,31,22
12019,81,92,43,55,63,40,52,58
12021,84,62,74,84,68,92,103,94
12031,NA,NA,NA,351,326,343,313,319
12033,155,153,194,181,138,171,194,179
12053,48,59,38,43,37,49,47,56
12057,534,589,831,723,738,710,745,774
12061,NA,NA,NA,31,38,18,26,21
12069,65,73,57,NA,NA,NA,NA,NA
12071,188,176,208,263,231,222,255,251
12073,NA,NA,NA,463,442,449,440,434
12081,82,89,115,119,91,90,114,83
12083,85,93,101,68,77,80,78,69
12085,49,44,52,56,34,37,32,29
12091,69,81,86,56,70,77,60,56
12095,621,609,837,779,800,767,789,868
12097,96,107,63,88,81,114,91,77
12099,469,511,598,556,559,530,582,565
12101,145,143,143,143,205,170,166,178
12103,338,364,374,346,341,311,317,343
12105,171,225,265,261,211,291,265,277
12109,64,88,62,NA,NA,NA,NA,NA
12111,98,96,65,58,67,49,53,57
12113,63,73,46,39,63,51,50,40
12115,120,103,126,93,122,87,107,94
12117,181,222,237,249,184,202,205,244
12127,213,217,212,NA,NA,NA,NA,NA
13e3,2094,2177,2661,2630,2649,2565,2474,2535
13015,NA,NA,NA,26,26,24,19,24
13021,64,91,104,110,96,98,113,104
13045,NA,NA,NA,71,76,73,82,69
13051,146,128,243,228,221,235,210,205
13057,73,82,52,61,60,61,68,71
13059,NA,NA,NA,282,263,294,294,336
13063,78,84,103,78,76,88,117,100
13067,282,256,247,307,308,304,282,282
13073,NA,NA,NA,25,41,36,39,29
13077,NA,NA,NA,34,39,24,29,40
13089,266,242,305,NA,NA,NA,NA,NA
13097,NA,NA,NA,48,36,41,45,38
13113,NA,NA,NA,48,41,48,44,22
13117,NA,NA,NA,63,75,80,73,86
13121,437,425,611,NA,NA,NA,NA,NA
13135,320,289,183,246,262,261,250,243
13139,41,46,59,84,65,85,99,91
13151,55,47,52,60,54,53,60,51
13185,NA,NA,NA,105,104,93,76,90
13215,122,105,124,NA,NA,NA,NA,NA
13223,NA,NA,NA,29,33,31,46,37
13245,79,69,86,93,95,70,64,85
13313,NA,NA,NA,38,28,34,38,35
15e3,43,58,47,56,48,51,53,53
15001,83,71,83,70,76,71,56,59
15003,413,421,485,494,494,461,461,457
16e3,411,389,487,576,602,576,605,537
16001,123,143,114,NA,NA,NA,NA,NA
16019,NA,NA,NA,32,21,35,28,35
16027,46,52,52,NA,NA,NA,NA,NA
17e3,2531,2719,2676,1387,1410,1420,1276,1282
17019,338,341,417,383,376,401,391,361
17031,2033,2120,2335,2364,2445,2248,2183,2214
17037,NA,NA,NA,140,111,150,103,116
17043,435,413,391,515,462,424,479,411
17089,NA,NA,NA,170,182,169,181,149
17091,58,49,83,79,90,86,89,85
17097,302,304,379,287,290,302,280,256
17099,45,43,63,42,49,54,55,41
17111,NA,NA,NA,132,108,99,106,88
17113,151,150,254,202,195,180,232,199
17115,41,57,61,47,73,50,53,46
17119,NA,NA,NA,137,133,112,141,170
17143,NA,NA,NA,132,98,125,109,117
17161,NA,NA,NA,86,80,94,84,78
17163,NA,NA,NA,88,94,89,59,72
17167,NA,NA,NA,81,78,91,102,102
17179,60,49,43,63,36,48,49,44
17197,NA,NA,NA,276,265,278,251,275
18e3,1754,1720,1974,1180,1239,1168,1173,1097
18003,166,156,185,188,180,156,165,162
18019,NA,NA,NA,34,43,42,26,30
18035,133,160,174,155,191,171,175,149
18039,52,59,59,60,43,45,42,45
18063,NA,NA,NA,48,47,36,33,38
18081,35,68,47,64,66,40,48,47
18089,175,195,175,183,182,189,171,159
18091,35,36,53,46,30,28,36,31
18095,NA,NA,NA,70,60,74,63,52
18097,337,348,414,382,351,377,378,329
18105,277,279,275,257,308,260,300,304
18127,70,74,106,68,86,109,76,73
18141,206,175,274,240,246,221,229,260
18157,NA,NA,NA,332,360,346,311,401
18163,NA,NA,NA,137,157,142,124,150
18167,NA,NA,NA,132,114,136,138,133
19e3,855,837,1099,1374,1282,1220,1235,1308
19013,103,93,98,107,94,91,106,83
19103,173,150,158,147,149,169,172,182
19113,99,75,116,78,97,107,103,78
19153,118,123,117,NA,NA,NA,NA,NA
19163,49,34,68,62,78,61,60,53
19193,29,37,58,NA,NA,NA,NA,NA
2e4,984,1018,1165,1103,1131,989,1016,1007
20045,NA,NA,NA,188,182,159,172,159
20091,179,128,145,180,175,155,156,163
20177,65,50,59,NA,NA,NA,NA,NA
20209,33,45,49,60,56,42,40,42
21e3,1138,1199,1445,1195,1201,1225,1172,1136
21015,NA,NA,NA,28,31,23,23,33
21067,221,213,266,300,286,287,249,264
21111,333,297,347,366,374,381,363,332
21117,73,48,56,52,49,49,47,52
21227,NA,NA,NA,111,121,115,138,138
22e3,1375,1323,1426,985,932,928,948,842
22005,NA,NA,NA,18,30,26,37,19
22017,64,98,87,75,63,73,78,48
22019,75,79,62,NA,NA,NA,NA,NA
22033,NA,NA,NA,277,225,238,226,249
22055,NA,NA,NA,123,100,89,105,104
22071,104,104,190,300,287,308,266,277
22073,71,68,91,82,96,65,84,70
22079,34,36,44,NA,NA,NA,NA,NA
22103,NA,NA,NA,69,67,60,69,59
22105,47,46,84,NA,NA,NA,NA,NA
22109,34,28,19,29,25,13,21,33
23e3,459,423,559,449,445,376,427,435
23001,49,36,67,57,49,44,57,47
23011,52,65,50,50,51,57,59,68
23019,NA,NA,NA,121,132,136,143,124
24e3,331,352,451,428,394,404,412,431
24003,181,242,231,178,254,229,216,209
24005,401,398,497,520,473,460,501,443
24013,87,64,109,114,95,108,97,101
24015,NA,NA,NA,38,31,31,23,24
24017,40,48,45,52,54,56,58,60
24021,100,114,109,136,169,111,160,172
24025,88,84,83,91,77,100,96,73
24027,118,113,126,113,101,104,92,124
24031,439,431,459,402,387,372,396,353
24033,456,487,598,618,569,554,601,591
24043,40,55,54,26,54,47,39,35
24510,293,293,449,408,354,433,399,358
25e3,2708,2677,3756,4086,3867,3739,3937,4010
25003,NA,NA,NA,116,134,129,128,131
25009,343,316,452,NA,NA,NA,NA,NA
25025,635,657,1035,1040,1031,1007,1028,1094
26e3,2136,2217,2276,1593,1625,1488,1472,1494
26005,NA,NA,NA,28,31,25,34,33
26021,56,72,65,59,73,66,58,55
26025,55,42,60,NA,NA,NA,NA,NA
26065,NA,NA,NA,347,389,396,394,391
26075,60,51,77,70,64,73,78,57
26077,NA,NA,NA,202,182,182,238,185
26081,263,248,247,271,247,244,235,251
26093,57,76,49,79,73,58,71,64
26099,279,301,315,261,268,258,241,227
26115,47,63,45,50,40,40,46,57
26121,55,78,79,81,63,76,65,58
26125,434,445,484,440,474,443,422,440
26139,130,140,213,211,208,213,233,187
26145,100,82,134,130,107,95,91,90
26147,NA,NA,NA,71,65,48,52,42
26161,346,374,374,387,453,406,417,424
26163,667,580,660,600,634,536,532,571
27e3,1261,1332,1439,1332,1365,1286,1288,1238
27003,68,90,87,87,67,66,65,76
27037,124,107,83,100,69,105,67,90
27053,410,377,456,417,440,429,407,418
27109,40,52,29,36,45,44,36,47
27123,229,228,317,297,278,258,262,281
27137,130,133,156,NA,NA,NA,NA,NA
27145,NA,NA,NA,146,187,136,129,153
27163,83,54,65,51,63,65,45,60
27171,NA,NA,NA,28,19,29,30,26
28e3,1133,1180,1387,1401,1488,1379,1408,1313
28033,55,50,54,59,52,46,72,64
28047,41,55,70,90,84,79,84,84
28059,38,38,40,39,41,35,32,34
28121,43,41,29,NA,NA,NA,NA,NA
29e3,1691,1662,2074,1700,1583,1659,1593,1696
29019,192,209,273,247,238,245,250,253
29071,NA,NA,NA,35,28,22,18,30
29095,NA,NA,NA,272,222,230,226,239
29099,72,62,65,60,43,67,67,67
29183,128,121,199,186,155,196,203,206
29189,360,431,449,414,412,419,421,384
29510,172,171,239,203,178,152,177,168
3e4,323,363,332,385,438,411,394,352
30111,36,38,37,NA,NA,NA,NA,NA
31e3,412,467,565,454,473,439,448,459
31055,185,235,227,254,247,225,216,245
31109,194,194,226,200,272,237,244,249
31153,NA,NA,NA,47,46,45,47,53
32e3,83,98,127,87,100,107,68,74
32003,643,558,674,616,641,637,650,652
32031,207,230,173,221,198,216,239,236
33e3,527,517,659,771,773,762,815,763
33017,87,81,139,NA,NA,NA,NA,NA
34e3,194,226,221,322,261,296,253,250
34001,141,125,175,NA,NA,NA,NA,NA
34003,353,389,436,400,438,431,441,438
34005,202,214,213,173,207,229,214,184
34007,189,219,213,235,214,197,205,208
34009,43,30,27,NA,NA,NA,NA,NA
34011,68,44,59,NA,NA,NA,NA,NA
34013,326,299,416,370,398,388,345,357
34015,NA,NA,NA,200,180,186,156,204
34017,249,248,322,340,294,319,308,309
34019,65,68,56,53,58,66,61,52
34021,133,187,277,283,297,266,291,260
34023,501,511,656,646,599,652,669,700
34025,283,303,312,296,333,305,282,241
34027,206,214,257,238,260,198,232,252
34029,225,229,220,227,224,196,222,174
